split,sample_id,plant_family,plant_order,plant_min_damping_ratio,closed_loop_oscillation_hz,trajectory_rmse
test,10331,highly_resonant_second_order,2,0.040229211573728746,0.2972754357446027,0.17567065358161926
test,10332,first_order,1,1.0,0.0,0.06051899120211601
test,10333,first_order,1,1.0,0.0,0.08866063505411148
test,10334,first_order,1,1.0,0.009241511979659259,0.03974588215351105
test,10335,first_order,1,1.0,0.1321269919420602,0.4317055940628052
test,10336,first_order,1,1.0,0.0,0.11225684732198715
test,10337,first_order,1,1.0,0.061349910487300964,0.26595181226730347
test,10338,first_order,1,1.0,0.0,0.06573536992073059
test,10339,first_order,1,1.0,0.0,0.16983523964881897
test,10340,first_order,1,1.0,0.0,0.06621674448251724
test,10341,first_order,1,1.0,0.01132929942232727,0.036334533244371414
test,10342,first_order,1,1.0,0.0,0.06804203987121582
test,10343,first_order,1,1.0,0.034359949335544156,0.13188689947128296
test,10344,first_order,1,1.0,0.10964356757938054,0.4093725383281708
test,10345,first_order,1,1.0,0.018204125708068328,0.09701648354530334
test,10346,first_order,1,1.0,0.0,0.104741670191288
test,10347,first_order,1,1.0,0.0,0.03234993666410446
test,10801,fourth_order_real,4,1.0,0.25329049778853874,0.07451047003269196
test,10806,fourth_order_real,4,1.0,0.0,0.075569286942482
test,10808,fourth_order_real,4,1.0,0.7469012620488376,0.31069260835647583
test,10810,fourth_order_real,4,1.0,0.25229300990580344,0.5090552568435669
test,10811,fourth_order_real,4,1.0,0.2597563366377406,0.5310529470443726
test,10814,fourth_order_real,4,1.0,0.666604120458948,0.6344612240791321
test,10815,fourth_order_real,4,1.0,0.5844603508813845,0.45422521233558655
test,10816,fourth_order_real,4,1.0,0.4685248655238822,0.6270817518234253
test,10817,fourth_order_real,4,1.0,0.7300978681090222,0.47839316725730896
test,10872,weakly_resonant_third_order,3,0.17072455379817955,0.3621691459876517,0.2646419405937195
test,10873,weakly_resonant_third_order,3,0.17072455379817955,0.1629238790013161,0.09538698196411133
test,10874,weakly_resonant_third_order,3,0.17072455379817955,1.1917995775715517,0.12800583243370056
test,10877,weakly_resonant_third_order,3,0.17072455379817955,0.37119052853376144,0.3889886438846588
test,10878,weakly_resonant_third_order,3,0.17072455379817955,1.8935568126108302,0.07790929824113846
test,10880,weakly_resonant_third_order,3,0.17072455379817955,0.7914955977633451,0.6144770979881287
test,10882,weakly_resonant_third_order,3,0.17072455379817955,0.17834575746181386,0.18385398387908936
test,10883,weakly_resonant_third_order,3,0.17072455379817955,0.18870717672155293,0.1769346296787262
test,10887,weakly_resonant_third_order,3,0.17072455379817955,0.837063613038334,0.7028411626815796
test,11148,two_mode_resonant,4,0.09893545453034025,0.24006472393474637,0.10102653503417969
test,11149,two_mode_resonant,4,0.09893545453034025,0.24858395273334458,0.3736397922039032
test,11152,two_mode_resonant,4,0.09893545453034025,0.22092368142251645,0.5824801325798035
test,11153,two_mode_resonant,4,0.09893545453034025,0.19240781509686017,0.7256561517715454
test,11154,two_mode_resonant,4,0.09893545453034025,0.1979140811969969,0.6826424598693848
test,11155,two_mode_resonant,4,0.09893545453034025,0.24140982967368166,0.372209370136261
test,11157,two_mode_resonant,4,0.09893545453034025,0.24392100940198008,0.41887909173965454
test,11158,two_mode_resonant,4,0.09893545453034025,0.19308821116350322,0.6704299449920654
test,11196,first_order,1,1.0,3.544696461534266,0.047851383686065674
test,11197,first_order,1,1.0,0.0,0.04188873991370201
test,11198,first_order,1,1.0,4.0532321648147445,0.03588269650936127
test,11199,first_order,1,1.0,0.0,0.04492853954434395
test,11200,first_order,1,1.0,0.0,0.0323474146425724
test,11201,first_order,1,1.0,0.7177504073098686,0.07164841145277023
test,11202,first_order,1,1.0,2.232536686027779,0.05554201081395149
test,11203,first_order,1,1.0,0.7092342639293676,0.10083403438329697
test,11204,first_order,1,1.0,0.0,0.16762489080429077
test,11205,first_order,1,1.0,0.0,0.08946356922388077
test,11206,first_order,1,1.0,0.0,0.042644303292036057
test,11207,first_order,1,1.0,0.0,0.04017794877290726
test,11208,first_order,1,1.0,0.0,0.041402049362659454
test,11209,first_order,1,1.0,0.0,0.05513864383101463
test,11210,first_order,1,1.0,1.2237632345476637,0.051517948508262634
test,11211,first_order,1,1.0,0.0,0.051636047661304474
test,11212,first_order,1,1.0,0.0,0.13823242485523224
test,11213,first_order,1,1.0,0.0,0.04140689969062805
test,11233,fast_dynamics_family,2,0.23125071592396568,12.864102593351179,0.1218969002366066
test,11234,fast_dynamics_family,2,0.23125071592396568,7.682575385790186,0.07598552852869034
test,11235,fast_dynamics_family,2,0.23125071592396568,7.9527746229315905,0.05019792914390564
test,11236,fast_dynamics_family,2,0.23125071592396568,14.744153227707976,0.09309020638465881
test,11237,fast_dynamics_family,2,0.23125071592396568,4.379439752356239,0.14147228002548218
test,11239,fast_dynamics_family,2,0.23125071592396568,3.6809657146869057,0.22821171581745148
test,11241,fast_dynamics_family,2,0.23125071592396568,3.7127285257237683,0.15135803818702698
test,11246,fast_dynamics_family,2,0.23125071592396568,3.559844880744062,0.4954610764980316
test,11247,fast_dynamics_family,2,0.23125071592396568,3.172233197162257,0.33711305260658264
test,11304,overdamped_second_order,2,1.0,0.0,0.1997332125902176
test,11305,overdamped_second_order,2,1.0,0.0,0.15356385707855225
test,11306,overdamped_second_order,2,1.0,0.2032350719865452,0.1691424697637558
test,11307,overdamped_second_order,2,1.0,0.0,0.0903187021613121
test,11308,overdamped_second_order,2,1.0,0.0,0.31784409284591675
test,11309,overdamped_second_order,2,1.0,0.0,0.1221780776977539
test,11310,overdamped_second_order,2,1.0,0.0,0.21465004980564117
test,11311,overdamped_second_order,2,1.0,0.3953292263697963,0.08952128887176514
test,11312,overdamped_second_order,2,1.0,0.0,0.24417100846767426
test,11313,overdamped_second_order,2,1.0,0.0,0.2097742110490799
test,11314,overdamped_second_order,2,1.0,0.0,0.14192502200603485
test,11315,overdamped_second_order,2,1.0,0.0,0.2091556042432785
test,11316,overdamped_second_order,2,1.0,0.0,0.12731628119945526
test,11317,overdamped_second_order,2,1.0,0.0,0.09973285347223282
test,11318,overdamped_second_order,2,1.0,0.0,0.1379888951778412
test,11319,overdamped_second_order,2,1.0,0.08759499337147765,0.2873292565345764
test,11320,overdamped_second_order,2,1.0,0.0,0.1100543737411499
test,11321,overdamped_second_order,2,1.0,0.0,0.3114754855632782
test,11322,weakly_resonant_third_order,3,0.11629627726523695,0.03460724115226308,0.13540759682655334
test,11325,weakly_resonant_third_order,3,0.11629627726523695,0.5069219450044467,0.37990501523017883
